date,population,admission,release
2022-06-03,117674.82827448878,3032.219899123358,2928.995582679582
2022-06-04,117852.05259093254,3106.219899123358,1237.8289160129157
2022-06-05,118599.27690737632,1985.7198991233583,1468.9955826795822
2022-06-06,119003.0012238201,1872.7198991233583,3582.4955826795826
2022-06-07,118241.72554026387,2817.7111271935337,3228.828916012916
2022-06-08,118057.908190041,3045.0115657900246,3188.162249346249
2022-06-09,117786.42417315143,2916.6782324566916,3089.0711430555766
2022-06-10,117491.36206515557,2797.002527467537,2709.5646354633855
2022-06-11,117937.79995715972,3153.1789980557724,1284.981302130052
2022-06-12,118601.40451583057,1950.835860800871,1526.731302130052
2022-06-13,119001.00907450136,1926.335860800871,3392.356302130053
2022-06-14,118261.73863317218,2653.0858608008707,3102.3563021300524
2022-06-15,117973.46819184303,2811.8358608008707,3037.791708828617
2022-06-16,117481.66425769088,2729.5523679779044,3066.356302130053
2022-06-17,117417.36032353873,3001.1148679779044,2549.856302130052
2022-06-18,117554.05638938655,2685.7190346445714,1320.5229687967187
2022-06-19,118312.25245523443,2079.5523679779044,1180.189635463385
2022-06-20,118689.44852108227,1557.5523679779046,2248.356302130052
2022-06-21,118759.14458693012,2316.7190346445714,3189.906568305319
2022-06-22,118253.70091076325,2706.7446284201646,3040.2471281164667
2022-06-23,118032.19841106694,2818.7446284201646,3008.2471281164662
2022-06-24,117874.19591137064,2848.911295086831,2818.7471281164662
2022-06-25,117930.19341167432,2874.7446284201646,1166.1915725609106
2022-06-26,118794.41313420024,2030.4112950868316,1209.6915725609106
2022-06-27,119218.63285672617,1634.9112950868318,3477.191572560911
2022-06-28,118526.85257925212,2785.411295086831,3079.458239227578
2022-06-29,118248.90563511137,2803.411295086831,2849.8582392275775
2022-06-30,118214.4586909706,2815.411295086831,3118.8582392275775
2022-07-01,117981.51174682986,2884.5779617534977,3141.3582392275775
2022-07-02,117732.77313602246,2892.6196284201646,1342.8582392275775
2022-07-03,118565.53452521503,2175.619628420165,1340.3582392275775
2022-07-04,118995.29591440762,1770.119628420165,1077.358239227577
2022-07-05,119633.55730360019,1715.619628420165,3543.3582392275775
2022-07-06,118857.8186927928,2767.6196284201646,3350.358239227578
2022-07-07,118492.79436769967,2985.3339141344504,3027.3582392275775
2022-07-08,118283.77004260654,2818.3339141344504,3107.024905894244
2022-07-09,118313.41238418008,3135.7260709971956,1218.9660823648323
2022-07-10,119091.61354928304,1998.1672474677844,1220.9660823648323
2022-07-11,119492.814714386,1622.1672474677844,3060.299415698166
2022-07-12,119038.84921282227,2606.333914134451,2899.3297018025532
2022-07-13,118864.94012533415,2734.37586783643,2957.5071775467763
2022-07-14,118608.42786324285,2699.005016465579,2981.269803809402
2022-07-15,118335.9964092324,2708.838349798912,2584.519803809402
2022-07-16,118634.5649552219,2883.088349798912,1163.853137142736
2022-07-17,119544.30016787804,2073.588349798912,1383.8531371427362
2022-07-18,119965.53538053422,1802.2383497989124,3173.6864704760696
2022-07-19,119250.93725985706,2473.255016465579,2978.6031371427357
2022-07-20,119075.83913917995,2802.005016465579,2787.2020382416367
2022-07-21,118935.4333261951,2649.581939542502,3115.9877525273514
2022-07-22,118507.36084654357,2687.915272875835,2591.821085860685
2022-07-23,118757.78836689204,2842.248606209169,1264.821085860685
2022-07-24,119573.21588724053,2080.248606209169,1294.821085860685
2022-07-25,119864.643407589,1585.5819395425024,3158.8513888909883
2022-07-26,119378.98001884657,2673.1880001485624,2950.8513888909874
2022-07-27,119200.31663010416,2772.188000148563,2846.084107784997
2022-07-28,119025.29993875038,2682.883852683125,3007.000055636429
2022-07-29,118731.91694703026,2713.6170639163365,2356.7579741884642
2022-07-30,118735.43893268576,2377.395344459323,1242.3733588038494
2022-07-31,119448.46091834121,1955.3953444593226,1334.9983588038494
2022-08-01,119757.3579039967,1643.8953444593226,3058.1650254705164
2022-08-02,119247.4215563188,2547.138934202913,2726.947076752567
2022-08-03,119100.12623428197,2576.8660404300185,2704.447076752567
2022-08-04,118896.33091224516,2519.151754715733,2704.1137434192337
2022-08-05,118596.36892354165,2404.151754715733,2529.9220030062547
2022-08-06,118647.50870474965,2584.0529346567364,1269.022620904354
2022-08-07,119209.0626871411,1833.5677275561443,1356.0137451647092
2022-08-08,119609.61666953251,1755.9010608894773,2781.908531012009
2022-08-09,119090.01064296303,2265.621871295381,2744.061231198228
2022-08-10,118885.40461639353,2538.942384115894,2705.279179916177
2022-08-11,118859.2601282855,2659.750076423586,2712.0874617506215
2022-08-12,118770.76040297288,2657.0760481263014,3798.3424401056013
2022-08-13,119067.92734432693,4098.576048126301,1249.9091067722673
2022-08-14,119767.59428568096,1949.5760481263017,1390.409106772267
2022-08-15,120158.26122703498,1772.690427211269,2830.775119844162
2022-08-16,119847.61934485962,2520.133237668785,3022.1501198441624
2022-08-17,119644.10246268421,2817.033237668785,2900.816786510829
2022-08-18,119496.58558050886,2753.6419333209587,2918.711333432743
2022-08-19,119259.80552935168,2690.903674913589,2740.91449530155
2022-08-20,119593.56393973294,3073.8395723494864,1211.081161968216
2022-08-21,120283.3223501142,1902.1729056828196,1312.9144953015493
2022-08-22,120746.08076049549,1766.7469569287473,3627.827427120399
2022-08-23,120001.8794397271,2882.2927730186775,2840.2710545713785
2022-08-24,119815.58007974301,2662.8295377245595,3391.6288977086333
2022-08-25,119587.28071975896,3163.32953772456,2944.495564375299
2022-08-26,119409.91469310822,2767.129537724559,2643.717786597522
